Code,Region,Low_SES_Percent,Internet_NoAccess,Housing_Unsuitable,Unemployment_Rate,Education_Level_Low,English_Proficiency_Low,Aboriginal_Percent,Senior_65Plus_Percent,Elderly_70_PermInstitution,Year
PHA010000,GOSFORD - SOUTH EAST,0.0,10.57241164,1.9829589465530597,5.03,26.9,8.591885442,2.6797701519789485,19.45195114041725,0.0,2017-2018
PHA010001,CALGA - KULNURA/ NARARA/ NIAGARA PARK - LISAROW,58.56390667,11.10076075,3.4700315457413247,5.41,20.0,12.43781095,3.1948560807756063,14.529785303900816,4.997550220480157,2017-2018
PHA010002,ERINA - GREEN POINT AREA,75.28420158,16.66345784,2.1080368906455864,5.41,21.6,12.82367448,2.756719503790489,26.23650688972961,8.818043072748855,2017-2018
PHA010003,GOSFORD - SPRINGFIELD/ WYOMING,0.0,17.06393598,3.860092709650232,7.67,21.7,14.85581124,3.6655432514845128,19.298018809993213,9.10935738444194,2017-2018
PHA010004,KARIONG/ POINT CLARE - KOOLEWONG,0.0,11.16040159,2.6576576576576576,6.33,21.2,13.31471136,3.344894026974952,14.835505896958413,9.078114004222378,2017-2018
PHA010005,TERRIGAL - NORTH AVOCA AREA,0.0,9.603601351,2.225774717166749,4.75,29.5,8.365608056,2.0368210596467846,17.0359592600291,0.0,2017-2018
PHA010006,UMINA - BOOKER BAY - PATONGA/ WOY WOY - BLACKWALL,0.0,21.80718844,4.102430101907499,8.24,15.6,11.74089069,4.899742529453071,24.909728400230257,6.102201685240555,2017-2018
PHA010007,BATEAU BAY - KILLARNEY VALE/ THE ENTRANCE,0.0,20.7444524,4.461795872838818,7.19,14.1,11.60349854,5.097593830062597,21.761534170894315,7.430041814088131,2017-2018
PHA010008,WYONG - NORTH EAST,0.0,17.87624912,3.642129540649625,8.52,8.0,11.11111111,6.915801450718248,20.3604308107916,0.0,2017-2018
PHA010009,WYONG - EAST,0.0,23.87697289,4.216471824510705,8.62,10.1,13.05031447,6.5868568517575135,25.276412776412776,4.278501195854371,2017-2018
PHA010010,CHITTAWAY BAY - TUMBI UMBI/ TUGGERAH - KANGY ANGY,100.0,12.9736766,2.9358814568619307,6.04,15.9,13.88653683,4.4274520910034925,16.36689798423264,6.841686555290375,2017-2018
PHA010011,GOROKAN - KANWAL - CHARMHAVEN,0.0,22.49077725,5.077556955889481,9.12,8.8,12.62042389,6.925256818986894,21.557205745030902,11.300223214285714,2017-2018
PHA010012,WARNERVALE - WADALBA AREA,64.95241347,10.66130598,2.9072812991094814,5.54,16.7,11.55584248,4.552629392705824,13.422902541491618,11.379613356766257,2017-2018
