Code,Region,Gender,AgeGroup,Number,Population,CI_Proportion_Lower,CI_Proportion_Upper,Proportion (%),Risk_Factor
PHN101,CENTRAL AND EASTERN SYDNEY,Females,18–54,47080.09,459106.3,9.3,11.3,10.26,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Females,55–74,46188.58,140001.2,31.3,34.7,32.99,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Females,75+,20719.93,48400.83,40.7,44.9,42.81,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Males,18–54,82661.07,460007.6,16.8,19.1,17.97,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Males,55–74,51083.29,130964.1,37.3,40.7,39.01,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Males,75+,17633.84,38695.33,43.5,47.6,45.57,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,18–54,129928.0,919113.8,13.3,14.9,14.14,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,55–74,97390.47,270965.3,34.5,37.4,35.94,High blood pressure
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,75+,38395.59,87096.15,42.1,46.0,44.08,High blood pressure
PHN102,NORTHERN SYDNEY,Females,18–54,28325.48,240892.3,10.8,12.7,11.76,High blood pressure
PHN102,NORTHERN SYDNEY,Females,55–74,30309.23,92363.79,31.2,34.5,32.82,High blood pressure
PHN102,NORTHERN SYDNEY,Females,75+,14163.89,33717.17,39.9,44.1,42.01,High blood pressure
PHN102,NORTHERN SYDNEY,Males,18–54,42731.91,228909.3,17.5,19.8,18.67,High blood pressure
PHN102,NORTHERN SYDNEY,Males,55–74,32490.7,85501.02,36.2,39.8,38.0,High blood pressure
PHN102,NORTHERN SYDNEY,Males,75+,11949.58,26743.57,42.6,46.8,44.68,High blood pressure
PHN102,NORTHERN SYDNEY,Persons,18–54,71154.7,469801.6,14.3,15.9,15.15,High blood pressure
PHN102,NORTHERN SYDNEY,Persons,55–74,62875.53,177864.8,33.9,36.8,35.35,High blood pressure
PHN102,NORTHERN SYDNEY,Persons,75+,26141.83,60460.74,41.2,45.2,43.24,High blood pressure
PHN103,WESTERN SYDNEY,Females,18–54,31265.07,257194.4,11.3,13.0,12.16,High blood pressure
PHN103,WESTERN SYDNEY,Females,55–74,28355.82,82163.25,32.9,36.1,34.51,High blood pressure
PHN103,WESTERN SYDNEY,Females,75+,9666.473,22111.71,41.7,45.8,43.72,High blood pressure
PHN103,WESTERN SYDNEY,Males,18–54,47583.8,266455.2,16.7,19.0,17.86,High blood pressure
PHN103,WESTERN SYDNEY,Males,55–74,30386.61,78521.52,37.0,40.4,38.7,High blood pressure
PHN103,WESTERN SYDNEY,Males,75+,8189.353,18027.46,43.3,47.6,45.43,High blood pressure
PHN103,WESTERN SYDNEY,Persons,18–54,78957.18,523649.6,14.3,15.9,15.08,High blood pressure
PHN103,WESTERN SYDNEY,Persons,55–74,58813.15,160684.8,35.1,38.1,36.6,High blood pressure
PHN103,WESTERN SYDNEY,Persons,75+,17875.26,40139.18,42.5,46.6,44.53,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Females,18–54,11075.22,91331.58,11.2,13.1,12.13,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Females,55–74,13242.25,39790.99,31.5,35.1,33.28,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Females,75+,4237.704,10063.37,39.8,44.5,42.11,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Males,18–54,15972.38,89658.34,16.6,19.1,17.82,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Males,55–74,14224.64,37655.39,35.8,39.7,37.78,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Males,75+,3495.954,7882.315,41.9,46.8,44.35,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Persons,18–54,27084.07,180989.9,14.0,15.9,14.96,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Persons,55–74,27499.99,77446.37,33.8,37.2,35.51,High blood pressure
PHN104,NEPEAN BLUE MOUNTAINS,Persons,75+,7741.973,17945.69,40.9,45.4,43.14,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Females,18–54,31493.31,251046.5,11.7,13.4,12.54,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Females,55–74,32129.38,92892.63,33.0,36.2,34.59,High blood pressure
