Code,Region,Gender,AgeGroup,Number,Population,CI_Proportion_Lower,CI_Proportion_Upper,Proportion (%),Risk_Factor
PHN101,CENTRAL AND EASTERN SYDNEY,Females,18–54,231858.7,459106.3,48.1,52.9,50.5,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Females,55–74,81794.4,140001.2,55.7,61.2,58.42,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Females,75+,38924.92,48400.83,77.5,83.4,80.42,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,18–54,235440.7,460007.6,48.8,53.6,51.18,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,55–74,78839.2,130964.1,57.7,62.7,60.2,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,75+,27655.84,38695.33,67.6,75.3,71.47,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,18–54,467489.0,919113.8,48.5,53.3,50.86,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,55–74,160677.0,270965.3,56.7,61.9,59.3,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,75+,66546.44,87096.15,73.8,79.0,76.41,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Females,18–54,120565.0,240892.3,47.8,52.2,50.05,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Females,55–74,49532.17,92363.79,50.6,56.6,53.63,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Females,75+,25679.0,33717.17,72.8,79.5,76.16,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Males,18–54,115487.0,228909.3,48.3,52.6,50.45,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Males,55–74,47454.13,85501.02,53.0,58.0,55.5,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Males,75+,17637.46,26743.57,61.8,70.1,65.95,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Persons,18–54,236111.9,469801.6,48.1,52.4,50.26,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Persons,55–74,97010.96,177864.8,51.9,57.2,54.54,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Persons,75+,43290.44,60460.74,68.8,74.4,71.6,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Females,18–54,167376.9,257194.4,63.1,67.1,65.08,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Females,55–74,58056.54,82163.25,68.7,72.7,70.66,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Females,75+,18809.59,22111.71,82.8,87.4,85.07,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Males,18–54,174683.9,266455.2,63.5,67.6,65.56,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Males,55–74,56140.51,78521.52,69.3,73.7,71.5,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Males,75+,13785.25,18027.46,73.2,79.7,76.47,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Persons,18–54,342223.9,523649.6,63.3,67.4,65.35,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Persons,55–74,114228.8,160684.8,69.0,73.1,71.09,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Persons,75+,32580.61,40139.18,79.1,83.2,81.17,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Females,18–54,58905.33,91331.58,62.4,66.6,64.5,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Females,55–74,27206.33,39790.99,66.2,70.5,68.37,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Females,75+,8435.79,10063.37,81.3,86.4,83.83,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Males,18–54,59285.94,89658.34,64.1,68.1,66.12,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Males,55–74,26432.49,37655.39,68.0,72.4,70.2,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Males,75+,5904.758,7882.315,71.4,78.5,74.91,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Persons,18–54,118236.5,180989.9,63.3,67.3,65.33,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Persons,55–74,53654.41,77446.37,67.2,71.4,69.28,Insufficient Physical Activity
