Code,Region,Gender,AgeGroup,Age_Standardised_Rate,Number,Population,Rate_Ratio,CI_Proportion_Lower,CI_Proportion_Upper,CI_Standardised_Rate_Lower,CI_Standardised_Rate_Upper,CI_Rate_Ratio_Lower,CI_Rate_Ratio_Upper,Proportion (%),Risk_Factor
PHN101,CENTRAL AND EASTERN SYDNEY,Females,18+,54.993,352578.1,647508.3,0.85824,52.2,56.7,52.8,57.2,0.8,0.9,54.45,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,18+,55.737,341935.7,629667.0,0.86343,52.1,56.5,53.5,58.0,0.8,0.9,54.3,Insufficient Physical Activity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,18+,55.39,694712.4,1277175.0,0.86112,52.2,56.6,53.2,57.6,0.8,0.9,54.39,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Females,18+,52.984,195776.1,366973.3,0.8268800000000001,51.2,55.5,50.9,55.0,0.8,0.9,53.35,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Males,18+,53.438,180578.6,341153.9,0.82782,50.9,55.0,51.4,55.5,0.8,0.9,52.93,Insufficient Physical Activity
PHN102,NORTHERN SYDNEY,Persons,18+,53.236,376413.3,708127.2,0.8276399999999999,51.1,55.2,51.2,55.3,0.8,0.9,53.16,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Females,18+,68.159,244243.0,361469.4,1.0637,65.8,69.3,66.3,70.0,1.0,1.1,67.57,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Males,18+,68.79,244609.6,363004.2,1.06564,65.5,69.2,67.0,70.6,1.0,1.1,67.39,Insufficient Physical Activity
PHN103,WESTERN SYDNEY,Persons,18+,68.509,489033.4,724473.6,1.06508,65.7,69.3,66.7,70.3,1.0,1.1,67.5,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Females,18+,67.041,94547.45,141185.9,1.04626,65.1,68.8,65.2,68.9,1.0,1.1,66.97,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Males,18+,68.658,91623.18,135196.0,1.0636,65.9,69.6,66.8,70.5,1.0,1.1,67.77,Insufficient Physical Activity
PHN104,NEPEAN BLUE MOUNTAINS,Persons,18+,67.87,186223.5,276382.0,1.05514,65.6,69.2,66.0,69.7,1.0,1.1,67.38,Insufficient Physical Activity
PHN105,SOUTH WESTERN SYDNEY,Females,18+,71.216,262616.1,370142.3,1.11141,69.3,72.6,69.5,72.9,1.1,1.1,70.95,Insufficient Physical Activity
PHN105,SOUTH WESTERN SYDNEY,Males,18+,71.978,252232.4,355815.6,1.11502,69.2,72.6,70.3,73.7,1.1,1.1,70.89,Insufficient Physical Activity
PHN105,SOUTH WESTERN SYDNEY,Persons,18+,71.615,514982.8,725957.9,1.11336,69.3,72.6,69.9,73.3,1.1,1.1,70.94,Insufficient Physical Activity
PHN106,SOUTH EASTERN NSW,Females,18+,64.042,156089.4,239919.7,0.99946,63.0,67.1,62.0,66.1,1.0,1.0,65.06,Insufficient Physical Activity
PHN106,SOUTH EASTERN NSW,Males,18+,65.525,151769.0,231931.9,1.01506,63.4,67.5,63.5,67.6,1.0,1.1,65.44,Insufficient Physical Activity
PHN106,SOUTH EASTERN NSW,Persons,18+,64.795,307948.5,471851.6,1.00733,63.2,67.3,62.7,66.8,1.0,1.0,65.26,Insufficient Physical Activity
