Code,Region,Gender,AgeGroup,Number,Population,CI_Proportion_Lower,CI_Proportion_Upper,Proportion (%),Risk_Factor
PHN101,CENTRAL AND EASTERN SYDNEY,Females,18–54,88286.61,459106.3,18.8,19.7,19.23,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Females,55–74,42354.81,140001.2,29.6,30.9,30.25,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Females,75+,14274.53,48400.83,28.7,30.3,29.49,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,18–54,100702.9,460007.6,21.4,22.4,21.89,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,55–74,44526.34,130964.1,33.3,34.7,34.0,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,75+,9885.159,38695.33,22.9,28.2,25.55,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,18–54,188678.5,919113.8,20.0,21.0,20.53,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,55–74,86820.65,270965.3,31.4,32.7,32.04,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,75+,24259.26,87096.15,27.2,28.5,27.85,Obesity
PHN102,NORTHERN SYDNEY,Females,18–54,40045.69,240892.3,16.1,17.2,16.62,Obesity
PHN102,NORTHERN SYDNEY,Females,55–74,23564.75,92363.79,24.7,26.3,25.51,Obesity
PHN102,NORTHERN SYDNEY,Females,75+,8610.569,33717.17,24.7,26.4,25.54,Obesity
PHN102,NORTHERN SYDNEY,Males,18–54,43496.61,228909.3,18.4,19.6,19.0,Obesity
PHN102,NORTHERN SYDNEY,Males,55–74,24214.92,85501.02,27.5,29.2,28.32,Obesity
PHN102,NORTHERN SYDNEY,Males,75+,5638.303,26743.57,19.1,23.0,21.08,Obesity
PHN102,NORTHERN SYDNEY,Persons,18–54,83452.36,469801.6,17.2,18.3,17.76,Obesity
PHN102,NORTHERN SYDNEY,Persons,55–74,47759.08,177864.8,26.1,27.6,26.85,Obesity
PHN102,NORTHERN SYDNEY,Persons,75+,14316.54,60460.74,22.9,24.5,23.68,Obesity
PHN103,WESTERN SYDNEY,Females,18–54,61954.0,257194.4,22.7,25.4,24.09,Obesity
PHN103,WESTERN SYDNEY,Females,55–74,28671.76,82163.25,33.2,36.6,34.9,Obesity
PHN103,WESTERN SYDNEY,Females,75+,7570.039,22111.71,32.3,36.2,34.24,Obesity
PHN103,WESTERN SYDNEY,Males,18–54,69956.84,266455.2,24.7,27.8,26.26,Obesity
PHN103,WESTERN SYDNEY,Males,55–74,30248.07,78521.52,36.4,40.7,38.52,Obesity
PHN103,WESTERN SYDNEY,Males,75+,5416.845,18027.46,26.4,33.7,30.05,Obesity
PHN103,WESTERN SYDNEY,Persons,18–54,131709.3,523649.6,23.8,26.5,25.15,Obesity
PHN103,WESTERN SYDNEY,Persons,55–74,58876.39,160684.8,34.8,38.5,36.64,Obesity
PHN103,WESTERN SYDNEY,Persons,75+,13035.6,40139.18,30.4,34.6,32.48,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Females,18–54,29471.4,91331.58,30.4,34.1,32.27,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Females,55–74,17078.7,39790.99,40.7,45.1,42.92,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Females,75+,4028.174,10063.37,37.4,42.6,40.03,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Males,18–54,31209.6,89658.34,32.8,36.9,34.81,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Males,55–74,17841.29,37655.39,44.8,50.0,47.38,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Males,75+,2818.889,7882.315,31.4,40.1,35.76,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Persons,18–54,60633.58,180989.9,31.6,35.4,33.5,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Persons,55–74,34898.24,77446.37,42.8,47.3,45.06,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Persons,75+,6874.475,17945.69,35.6,41.0,38.31,Obesity
PHN105,SOUTH WESTERN SYDNEY,Females,18–54,72188.61,251046.5,27.1,30.4,28.76,Obesity
PHN105,SOUTH WESTERN SYDNEY,Females,55–74,36798.39,92892.63,37.7,41.5,39.61,Obesity
PHN105,SOUTH WESTERN SYDNEY,Females,75+,9873.384,26203.16,35.5,39.8,37.68,Obesity
PHN105,SOUTH WESTERN SYDNEY,Males,18–54,76495.67,244933.2,29.5,33.0,31.23,Obesity
PHN105,SOUTH WESTERN SYDNEY,Males,55–74,38981.67,89374.39,41.2,46.0,43.62,Obesity
PHN105,SOUTH WESTERN SYDNEY,Males,75+,7247.233,21508.02,29.7,37.7,33.7,Obesity
PHN105,SOUTH WESTERN SYDNEY,Persons,18–54,148567.0,495979.7,28.3,31.6,29.95,Obesity
PHN105,SOUTH WESTERN SYDNEY,Persons,55–74,75720.55,182267.0,39.5,43.6,41.54,Obesity
PHN105,SOUTH WESTERN SYDNEY,Persons,75+,17179.89,47711.18,33.7,38.3,36.01,Obesity
PHN106,SOUTH EASTERN NSW,Females,18–54,43403.94,138024.6,29.7,33.2,31.45,Obesity
PHN106,SOUTH EASTERN NSW,Females,55–74,31809.4,76040.72,39.8,43.9,41.83,Obesity
PHN106,SOUTH EASTERN NSW,Females,75+,10013.18,25854.34,36.3,41.1,38.73,Obesity
PHN106,SOUTH EASTERN NSW,Males,18–54,45908.16,135994.0,31.8,35.7,33.76,Obesity
PHN106,SOUTH EASTERN NSW,Males,55–74,34106.33,73873.3,43.8,48.6,46.17,Obesity
PHN106,SOUTH EASTERN NSW,Males,75+,7651.589,22064.62,30.6,38.8,34.68,Obesity
PHN106,SOUTH EASTERN NSW,Persons,18–54,89243.58,274018.6,30.8,34.3,32.57,Obesity
PHN106,SOUTH EASTERN NSW,Persons,55–74,65854.69,149914.0,41.8,46.0,43.93,Obesity
PHN106,SOUTH EASTERN NSW,Persons,75+,17717.81,47918.96,34.4,39.5,36.98,Obesity
PHN107,WESTERN NSW,Females,18–54,25166.1,65391.73,35.8,41.2,38.48,Obesity
PHN107,WESTERN NSW,Females,55–74,16824.91,33668.64,47.1,52.9,49.97,Obesity
PHN107,WESTERN NSW,Females,75+,5472.268,11669.59,43.6,50.1,46.89,Obesity
PHN107,WESTERN NSW,Males,18–54,26145.77,63015.55,38.6,44.4,41.49,Obesity
PHN107,WESTERN NSW,Males,55–74,18657.28,34010.07,51.7,58.1,54.86,Obesity
PHN107,WESTERN NSW,Males,75+,4211.453,9817.424,37.9,47.9,42.9,Obesity
PHN107,WESTERN NSW,Persons,18–54,51283.21,128407.3,37.2,42.7,39.94,Obesity
PHN107,WESTERN NSW,Persons,55–74,35435.45,67678.71,49.4,55.3,52.36,Obesity
PHN107,WESTERN NSW,Persons,75+,9712.012,21487.01,41.8,48.6,45.2,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,18–54,95991.37,283920.6,32.0,35.6,33.81,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,55–74,66676.46,150142.8,42.5,46.4,44.41,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,75+,22000.23,53696.82,38.7,43.3,40.97,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,18–54,100325.2,275830.5,34.4,38.3,36.37,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,55–74,69804.3,142852.1,46.6,51.2,48.86,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,75+,15987.14,43627.2,32.5,40.8,36.65,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,18–54,196193.2,559751.0,33.3,36.8,35.05,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,55–74,136392.3,292994.9,44.5,48.6,46.55,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,75+,38123.23,97324.01,36.7,41.6,39.17,Obesity
PHN109,NORTH COAST,Females,18–54,34638.53,107251.0,30.0,34.6,32.3,Obesity
PHN109,NORTH COAST,Females,55–74,30918.88,73459.87,39.6,44.6,42.09,Obesity
PHN109,NORTH COAST,Females,75+,10222.82,26310.8,36.0,41.7,38.85,Obesity
PHN109,NORTH COAST,Males,18–54,35020.41,100104.5,32.5,37.5,34.98,Obesity
PHN109,NORTH COAST,Males,55–74,32978.88,70909.89,43.7,49.4,46.51,Obesity
PHN109,NORTH COAST,Males,75+,7739.07,22231.7,30.5,39.2,34.81,Obesity
PHN109,NORTH COAST,Persons,18–54,69642.12,207355.5,31.3,35.9,33.59,Obesity
PHN109,NORTH COAST,Persons,55–74,63842.48,144369.8,41.6,46.8,44.22,Obesity
PHN109,NORTH COAST,Persons,75+,18017.75,48542.5,34.2,40.0,37.12,Obesity
PHN110,MURRUMBIDGEE,Females,18–54,16780.47,52116.9,29.5,34.9,32.2,Obesity
PHN110,MURRUMBIDGEE,Females,55–74,12362.2,28495.6,40.3,46.4,43.38,Obesity
PHN110,MURRUMBIDGEE,Females,75+,4128.724,10285.85,36.8,43.4,40.14,Obesity
PHN110,MURRUMBIDGEE,Males,18–54,17752.98,50864.7,32.0,37.8,34.9,Obesity
PHN110,MURRUMBIDGEE,Males,55–74,13931.0,28961.71,44.7,51.5,48.1,Obesity
PHN110,MURRUMBIDGEE,Males,75+,3187.894,8809.615,31.4,40.9,36.19,Obesity
PHN110,MURRUMBIDGEE,Persons,18–54,34506.85,102981.6,30.7,36.3,33.51,Obesity
PHN110,MURRUMBIDGEE,Persons,55–74,26253.64,57457.31,42.6,48.8,45.69,Obesity
PHN110,MURRUMBIDGEE,Persons,75+,7337.719,19095.47,35.1,41.8,38.43,Obesity
PHN201,NORTH WESTERN MELBOURNE,Females,18–54,134922.0,507883.6,24.9,28.2,26.57,Obesity
PHN201,NORTH WESTERN MELBOURNE,Females,55–74,55935.92,139413.0,38.0,42.2,40.12,Obesity
PHN201,NORTH WESTERN MELBOURNE,Females,75+,15919.22,42874.37,34.7,39.5,37.13,Obesity
PHN201,NORTH WESTERN MELBOURNE,Males,18–54,148838.2,505188.8,27.7,31.2,29.46,Obesity
PHN201,NORTH WESTERN MELBOURNE,Males,55–74,58460.53,131028.4,42.0,47.2,44.62,Obesity
PHN201,NORTH WESTERN MELBOURNE,Males,75+,11396.52,33961.97,29.5,37.6,33.56,Obesity
PHN201,NORTH WESTERN MELBOURNE,Persons,18–54,283403.6,1013072.0,26.3,29.6,27.98,Obesity
PHN201,NORTH WESTERN MELBOURNE,Persons,55–74,114324.6,270441.4,40.1,44.5,42.27,Obesity
PHN201,NORTH WESTERN MELBOURNE,Persons,75+,27418.07,76836.33,33.1,38.2,35.68,Obesity
PHN202,EASTERN MELBOURNE,Females,18–54,88216.97,392872.6,21.4,23.5,22.45,Obesity
PHN202,EASTERN MELBOURNE,Females,55–74,51929.24,156465.8,31.9,34.5,33.19,Obesity
PHN202,EASTERN MELBOURNE,Females,75+,16504.8,53055.7,29.6,32.7,31.11,Obesity
PHN202,EASTERN MELBOURNE,Males,18–54,94726.49,385234.0,23.4,25.8,24.59,Obesity
PHN202,EASTERN MELBOURNE,Males,55–74,52249.2,142829.4,34.8,38.4,36.58,Obesity
PHN202,EASTERN MELBOURNE,Males,75+,11739.89,43310.47,23.8,30.4,27.11,Obesity
PHN202,EASTERN MELBOURNE,Persons,18–54,182770.9,778106.6,22.4,24.6,23.49,Obesity
PHN202,EASTERN MELBOURNE,Persons,55–74,104159.1,299295.2,33.4,36.2,34.8,Obesity
PHN202,EASTERN MELBOURNE,Persons,75+,28352.56,96366.17,27.7,31.1,29.42,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Females,18–54,98655.22,405641.1,23.2,25.5,24.32,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Females,55–74,52908.15,150950.5,33.6,36.5,35.05,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Females,75+,16247.67,50405.29,30.5,34.0,32.23,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Males,18–54,106759.2,398792.1,25.5,28.1,26.77,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Males,55–74,54518.86,140629.2,36.9,40.7,38.77,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Males,75+,11508.19,40451.42,25.0,31.9,28.45,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Persons,18–54,205202.2,804433.1,24.4,26.6,25.51,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Persons,55–74,107377.3,291579.7,35.3,38.4,36.83,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Persons,75+,27863.19,90856.71,28.8,32.5,30.67,Obesity
PHN204,GIPPSLAND,Females,18–54,20820.23,59107.64,32.5,37.9,35.22,Obesity
PHN204,GIPPSLAND,Females,55–74,17227.2,38148.87,42.2,48.1,45.16,Obesity
PHN204,GIPPSLAND,Females,75+,5009.436,11992.33,38.5,45.1,41.77,Obesity
PHN204,GIPPSLAND,Males,18–54,21537.01,56798.62,35.0,40.8,37.92,Obesity
PHN204,GIPPSLAND,Males,55–74,18545.51,37295.98,46.4,53.0,49.72,Obesity
PHN204,GIPPSLAND,Males,75+,4099.536,10881.26,32.9,42.4,37.67,Obesity
PHN204,GIPPSLAND,Persons,18–54,42335.71,115906.3,33.8,39.2,36.53,Obesity
