Code,Region,Gender,AgeGroup,Age_Standardised_Rate,Number,Population,Rate_Ratio,CI_Proportion_Lower,CI_Proportion_Upper,CI_Standardised_Rate_Lower,CI_Standardised_Rate_Upper,CI_Rate_Ratio_Lower,CI_Rate_Ratio_Upper,Proportion (%),Risk_Factor
PHN101,CENTRAL AND EASTERN SYDNEY,Females,18+,23.077,144915.9,647508.3,0.78089,21.9,22.9,22.6,23.6,0.7,0.8,22.38,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Males,18+,24.358,155114.3,629667.0,0.75799,24.1,25.2,23.8,24.9,0.7,0.8,24.63,Obesity
PHN101,CENTRAL AND EASTERN SYDNEY,Persons,18+,23.729,299758.5,1277175.0,0.77006,22.9,24.0,23.2,24.2,0.7,0.8,23.47,Obesity
PHN102,NORTHERN SYDNEY,Females,18+,19.099,72221.0,366973.3,0.64628,19.1,20.3,18.5,19.7,0.6,0.7,19.68,Obesity
PHN102,NORTHERN SYDNEY,Males,18+,20.164,73349.83,341153.9,0.6275,20.8,22.2,19.5,20.8,0.6,0.7,21.5,Obesity
PHN102,NORTHERN SYDNEY,Persons,18+,19.631,145528.0,708127.2,0.6370600000000001,19.9,21.2,19.0,20.3,0.6,0.7,20.55,Obesity
PHN103,WESTERN SYDNEY,Females,18+,27.566,98195.8,361469.4,0.93279,25.8,28.5,26.3,28.9,0.9,1.0,27.17,Obesity
PHN103,WESTERN SYDNEY,Males,18+,28.366,105621.8,363004.2,0.88273,27.7,30.5,27.1,29.7,0.8,0.9,29.1,Obesity
PHN103,WESTERN SYDNEY,Persons,18+,27.98,203621.3,724473.6,0.9079999999999999,26.8,29.4,26.7,29.3,0.9,1.0,28.11,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Females,18+,35.295,50578.28,141185.9,1.19434,34.0,37.7,33.5,37.1,1.1,1.3,35.82,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Males,18+,36.19,51869.78,135196.0,1.12621,36.4,40.3,34.4,38.0,1.1,1.2,38.37,Obesity
PHN104,NEPEAN BLUE MOUNTAINS,Persons,18+,35.751,102406.3,276382.0,1.16017,35.2,38.9,33.9,37.6,1.1,1.2,37.05,Obesity
PHN105,SOUTH WESTERN SYDNEY,Females,18+,32.146,118860.4,370142.3,1.08778,30.5,33.7,30.6,33.7,1.0,1.2,32.11,Obesity
PHN105,SOUTH WESTERN SYDNEY,Males,18+,33.025,122724.6,355815.6,1.02772,32.8,36.2,31.5,34.6,1.0,1.1,34.49,Obesity
PHN105,SOUTH WESTERN SYDNEY,Persons,18+,32.591,241467.4,725957.9,1.05765,31.7,34.8,31.0,34.1,1.0,1.1,33.26,Obesity
PHN106,SOUTH EASTERN NSW,Females,18+,34.151,85226.52,239919.7,1.15563,33.8,37.3,32.5,35.8,1.1,1.2,35.52,Obesity
PHN106,SOUTH EASTERN NSW,Males,18+,34.979,87666.08,231931.9,1.08853,36.0,39.6,33.3,36.7,1.0,1.2,37.8,Obesity
PHN106,SOUTH EASTERN NSW,Persons,18+,34.567,172816.1,471851.6,1.12176,34.9,38.3,32.9,36.3,1.1,1.2,36.62,Obesity
PHN107,WESTERN NSW,Females,18+,41.599,47463.28,110730.0,1.40767,40.2,45.5,39.0,44.2,1.3,1.5,42.86,Obesity
PHN107,WESTERN NSW,Males,18+,42.578,49014.5,106843.0,1.32501,43.1,48.7,39.9,45.2,1.2,1.4,45.88,Obesity
PHN107,WESTERN NSW,Persons,18+,42.094,96430.66,217573.0,1.36603,41.6,47.0,39.5,44.7,1.3,1.5,44.32,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,18+,36.642,184668.1,487760.1,1.23994,36.2,39.6,35.0,38.3,1.2,1.3,37.86,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,18+,37.502,186116.6,462309.8,1.16703,38.5,42.1,35.9,39.2,1.1,1.2,40.26,Obesity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,18+,37.078,370708.7,950069.9,1.20324,37.3,40.7,35.4,38.7,1.1,1.3,39.02,Obesity
PHN109,NORTH COAST,Females,18+,34.34,75780.23,207021.7,1.1620300000000001,34.3,38.9,32.1,36.6,1.1,1.3,36.6,Obesity
PHN109,NORTH COAST,Males,18+,35.446,75738.36,193246.1,1.10305,36.8,41.6,33.2,37.7,1.0,1.2,39.19,Obesity
PHN109,NORTH COAST,Persons,18+,34.877,151502.4,400267.8,1.1318300000000001,35.6,40.1,32.6,37.1,1.1,1.2,37.85,Obesity
PHN110,MURRUMBIDGEE,Females,18+,35.194,33271.39,90898.35,1.19093,33.9,39.4,32.5,37.9,1.1,1.3,36.6,Obesity
PHN110,MURRUMBIDGEE,Males,18+,36.214,34871.88,88636.02,1.12695,36.5,42.2,33.5,38.9,1.0,1.2,39.34,Obesity
PHN110,MURRUMBIDGEE,Persons,18+,35.711,68098.21,179534.4,1.15887,35.2,40.7,33.0,38.4,1.1,1.3,37.93,Obesity
PHN201,NORTH WESTERN MELBOURNE,Females,18+,31.206,206777.1,690171.0,1.05599,28.3,31.6,29.6,32.8,1.0,1.1,29.96,Obesity
PHN201,NORTH WESTERN MELBOURNE,Males,18+,32.452,218695.3,670179.1,1.0098799999999999,30.9,34.4,30.8,34.1,0.9,1.1,32.63,Obesity
PHN201,NORTH WESTERN MELBOURNE,Persons,18+,31.839,425146.3,1360350.0,1.0332299999999999,29.6,32.9,30.2,33.4,1.0,1.1,31.25,Obesity
PHN202,EASTERN MELBOURNE,Females,18+,25.583,156651.0,602394.1,0.8656900000000001,25.0,27.0,24.6,26.5,0.8,0.9,26.0,Obesity
PHN202,EASTERN MELBOURNE,Males,18+,26.552,158715.6,571373.9,0.82627,26.7,28.8,25.6,27.5,0.8,0.9,27.78,Obesity
PHN202,EASTERN MELBOURNE,Persons,18+,26.068,315282.6,1173768.0,0.8459399999999999,25.9,27.8,25.1,27.0,0.8,0.9,26.86,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Females,18+,27.428,167811.0,606996.8,0.92813,26.6,28.7,26.4,28.5,0.9,1.0,27.65,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Males,18+,28.436,172786.3,579872.7,0.88491,28.6,31.0,27.4,29.5,0.8,0.9,29.8,Obesity
PHN203,SOUTH EASTERN MELBOURNE,Persons,18+,27.938,340442.6,1186870.0,0.9066500000000001,27.6,29.7,26.9,29.0,0.9,0.9,28.68,Obesity
PHN204,GIPPSLAND,Females,18+,37.623,43056.87,109248.8,1.27313,36.7,42.1,34.9,40.3,1.2,1.4,39.41,Obesity
PHN204,GIPPSLAND,Males,18+,38.617,44182.06,104975.9,1.20173,39.3,44.9,35.9,41.3,1.1,1.3,42.09,Obesity
PHN204,GIPPSLAND,Persons,18+,38.106,87202.78,214224.7,1.23659,38.0,43.4,35.4,40.8,1.1,1.3,40.71,Obesity
PHN205,MURRAY,Females,18+,37.039,90239.28,234205.4,1.25336,36.2,40.8,34.8,39.3,1.2,1.3,38.53,Obesity
