AgeGroup,CI_Proportion_Lower,CI_Proportion_Upper,Code,Gender,Number,Population,Proportion (%),Region,Risk_Factor,Source_File,Year
18-54,9.3,11.3,PHN101,Females,47211.9,459106.3,10.28,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,9.2,11.3,PHN101,Females,14321.66,140001.2,10.23,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.4,4.9,PHN101,Females,2011.99,48400.83,4.16,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.3,19.4,PHN101,Males,82162.28,460007.6,17.86,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.0,12.2,PHN101,Males,14507.93,130964.1,11.08,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.5,5.0,PHN101,Males,1656.5,38695.33,4.28,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,12.8,15.2,PHN101,Persons,129012.5,919113.8,14.04,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,9.7,11.8,PHN101,Persons,29003.1,270965.3,10.7,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.5,5.0,PHN101,Persons,3703.243,87096.15,4.25,CENTRAL AND EASTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,6.2,7.6,PHN102,Females,16655.74,240892.3,6.91,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,5.5,6.8,PHN102,Females,5668.674,92363.79,6.14,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,1.8,2.8,PHN102,Females,785.79,33717.17,2.33,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,10.7,12.9,PHN102,Males,26985.96,228909.3,11.79,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,5.9,7.3,PHN102,Males,5639.853,85501.02,6.6,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,2.0,2.9,PHN102,Males,655.092,26743.57,2.45,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,8.4,10.1,PHN102,Persons,43568.47,469801.6,9.27,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,5.7,7.1,PHN102,Persons,11379.99,177864.8,6.4,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,2.0,2.8,PHN102,Persons,1454.234,60460.74,2.4,NORTHERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,9.9,11.8,PHN103,Females,27962.7,257194.4,10.87,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.9,12.9,PHN103,Females,9761.812,82163.25,11.88,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.2,5.9,PHN103,Females,1115.299,22111.71,5.04,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.2,19.0,PHN103,Males,46819.01,266455.2,17.57,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.0,13.3,PHN103,Males,9543.153,78521.52,12.15,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.9,5.6,PHN103,Males,854.314,18027.46,4.74,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,13.1,15.4,PHN103,Persons,74617.62,523649.6,14.25,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.1,13.1,PHN103,Persons,19432.63,160684.8,12.09,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.2,5.8,PHN103,Persons,1990.616,40139.18,4.96,WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,13.0,15.6,PHN104,Females,13080.83,91331.58,14.32,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
